symbol,held
AAPL,True
MSFT,True
GOOG,True
GOOGL,True
AMZN,True
TSLA,True
BRK.B,True
FB,True
NVDA,True
UNH,True
JNJ,True
V,True
WMT,True
JPM,True
PG,True
XOM,True
MA,True
CVX,True
HD,True
BAC,True
PFE,True
ABBV,True
LLY,True
KO,True
COST,True
DIS,True
AVGO,True
PEP,True
TMO,True
CSCO,True
VZ,True
ACN,True
MRK,True
ABT,True
ORCL,True
CMCSA,True
DHR,True
ADBE,True
NKE,True
CRM,True
INTC,True
MCD,True
WFC,True
T,True
BMY,True
NEE,True
TMUS,True
UPS,True
AMD,True
LIN,True
TXN,True
NFLX,True
PM,True
QCOM,True
SCHW,True
UNP,True
MDT,True
MS,True
RTX,True
SPGI,True
CVS,True
AXP,True
LOW,True
AMGN,True
COP,True
INTU,True
ANTM,True
HON,True
PYPL,True
DE,True
PLD,True
LMT,True
AMT,True
CAT,True
IBM,True
BLK,True
GS,True
TGT,True
CHTR,True
AMAT,True
ISRG,True
BA,True
NOW,True
SYK,True
C,True
ADP,True
GE,True
MO,True
EL,True
ZTS,True
SBUX,True
CB,True
BKNG,True
DUK,True
MDLZ,True
CME,True
MMC,True
CCI,True
MMM,True
ADI,True
CI,True
SO,True
MU,True
BDX,True
HCA,True
GILD,True
REGN,True
USB,True
PNC,True
EW,True
CSX,True
EOG,True
AON,True
ICE,True
TJX,True
NOC,True
PSA,True
D,True
VRTX,True
TFC,True
FCX,True
EQIX,True
PGR,True
SHW,True
LRCX,True
WM,True
CL,True
GD,True
NSC,True
FISV,True
NEM,True
MRNA,True
BSX,True
MCO,True
ITW,True
ATVI,True
FIS,True
PXD,True
SLB,True
F,True
MET,True
HUM,True
ETN,True
OXY,True
GM,True
ILMN,True
EMR,True
DG,True
APD,True
COF,True
FTNT,True
MAR,True
SRE,True
ADM,True
ECL,True
FDX,True
AEP,True
CNC,True
KLAC,True
ROP,True
AIG,True
PAYX,True
KHC,True
LHX,True
DXCM,True
EXC,True
SNPS,True
ORLY,True
MCK,True
MPC,True
IQV,True
CTSH,True
HSY,True
STZ,True
IDXX,True
DOW,True
JCI,True
TRV,True
KR,True
KMI,True
WELL,True
NXPI,True
ADSK,True
CTAS,True
APH,True
PRU,True
SYY,True
CDNS,True
AZO,True
CTVA,True
CMG,True
MNST,True
O,True
RSG,True
AFL,True
DLR,True
KMB,True
VLO,True
GIS,True
SPG,True
WMB,True
DVN,True
MSCI,True
XEL,True
TEL,True
HPQ,True
HLT,True
PSX,True
NUE,True
A,True
ANET,True
SBAC,True
BAX,True
MSI,True
ALL,True
WBA,True
BK,True
BKR,True
AJG,True
GPN,True
TWTR,True
CARR,True
MCHP,True
DLTR,True
RMD,True
PEG,True
HAL,True
TDG,True
VRSK,True
DD,True
PH,True
TT,True
HES,True
AVB,True
EA,True
ED,True
ABC,True
EQR,True
YUM,True
ROST,True
TSN,True
LYB,True
TROW,True
FAST,True
ALGN,True
ARE,True
WEC,True
OTIS,True
AMP,True
